Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.01 L  4.99999866e-01 -3.66265035e-04 0.000732530134703080 0.0419708850846361 -5.36706896e-05 -7.32675387e-02 0.1465351166271646 8.39584373319382 -0.01610334 -7.32674443 14.65350851729002 839.584193099723 L 1.13686838e-16 2.93515212e-15 3.44872741e-15 3.44073214e-13 L  9.99999732e-01 -7.32530069e-04 -1.07341379e-04 -1.46535077e-01 L .01298384833942147 2.00220721233471 L .00289759917908863 L -0.0028970238532132725 0.002897599179088632 -0.0028970238532132725 5.753258753597376e-07 
0.02 i  0.49999785 -0.00146528 0.002930556176273367 0.1679085005264604 -0.00042943 -0.14653437 0.2930699972997813 16.79167394718790 -0.06441618 -7.32656745 14.65344952552409 839.580813120509 i  1.70530257e-16 -1.18105525e-15 9.47364409e-15 2.76827450e-13 i  0.99999571 -0.00293055 -0.00085886 -0.29306874 i .0519376787817077 2.00234990799389 i .0115903780532609 i -0.01158980272744035 0.01159037805326094 -0.01158980272744035 5.753258205884459e-07 
0.03 n  0.49998913 -0.00329694 0.006593925570968519 0.3778041056398877 -0.00144935 -0.21979695 0.4396034621244880 25.18742303907230 -0.14493419 -7.32580053 14.65319388369030 839.566165922365 n 4.54747351e-16 4.66160444e-15 5.14863707e-14 6.49521326e-13 n  0.99997826 -0.00659388 -0.00289869 -0.43959391 n .1168579972777587 2.00296826537729 n .0260781686402387 n -0.02607759331446728 0.02607816864023879 -0.02607759331446728 5.753257715096494e-07 
0.04 k  0.49996565 -0.00586117 0.0117226107881545 0.67165612303578 -0.00343542 -0.29304609 0.586132443384945 33.58291524164802 -0.25764466 -7.32373582 14.65250562042337 839.52673134197 k 2.38742359e-15 3.93125532e-14 1.78863591e-13 1.21633548e-12 k  0.99993129 -0.01172234 -0.00687085 -0.58609217 k .207734558195838 2.004633004199626 k .0463603176741182 k -0.0463597423482369 0.04636031767411825 -0.0463597423482369 5.753258813523399e-07 
0.05 '0'  0.49991613 -0.00915776 0.01831654024892030 1.049460451544635 -0.00670944 -0.36626407 0.732651041891452 41.9778125562426 -0.40251457 -7.31938273 14.65105442273507 839.443583839198 '0' -3.24007488e-15 -5.53050938e-14 -2.01035633e-13 -9.33823685e-13 '0'  0.99983226 -0.01831552 -0.01341888 -0.73252814 '0' .3245407261240050 2.008142829415042 '0' .0724351267505290 '0' -0.07243455142482962 0.07243512675052904 -0.07243455142482962 5.753256994284195e-07 
0.06 '0'  0.49982609 -0.01318625 0.0263755652953286 1.511208573694054 -0.01159269 -0.4394219  0.879149583994895 50.3715607235895 -0.57947531 -7.31146869 14.64841573654930 839.292398257294 '0' 8.98126018e-15 5.72875081e-14 5.93743721e-13 1.81796622e-12 '0'  0.99965218 -0.02637251 -0.02318538 -0.8788438  '0' .467221196381303 2.01452378287481 '0' .1042990688439479 '0' -0.1042984935183553 0.10429906884394792 -0.1042984935183553 5.753255926249645e-07 
0.07 '2'  0.49967784 -0.01794585 0.0358994177372346 2.05688512332063 -0.01840551 -0.51247643 1.025613680106921 58.7633352810071 -0.78840319 -7.29844084 14.64407097249874 839.043461614217 '1' -1.52340363e-14 -1.25439215e-13 -6.23579410e-13 -1.42802037e-12 '1'  0.99935569 -0.03589171 -0.03681103 -1.02495286 '2' .63567623721797 2.025027916519535 '2' .141945781878962 '2' -0.14194520655351905 0.1419457818789625 -0.14194520655351905 5.753254434526234e-07 
0.08 -  0.49945049 -0.02343524 0.0468876579955485 2.686464914397760 -0.02746665 -0.5853676  1.172023286008857 67.1519877793617 -1.02909563 -7.27846895 14.63740787424742 838.661694205935 - 3.34239303e-14 1.48727253e-13 1.34962264e-12 2.19927188e-12 -  0.99890098 -0.04687048 -0.05493329 -1.1707352  - .829742498754947 2.04113091890415 - .1853648406409142 - -0.18536426531498718 0.18536484064091424 -0.18536426531498718 5.753259270657729e-07 
0.09 -  0.49911996 -0.0296524  0.0593396138827771 3.399909433419039 -0.03909229 -0.65801568 1.31835176897915 75.5359922761114 -1.30124315 -7.2494502  14.6277211190697 838.106684017079 { -1.02886588e-14 -1.06485487e-13 2.88061131e-13 3.62888386e-13 {  0.99823992 -0.0593048  -0.07818458 -1.31603137 - .0491704687423 2.06452824819299 - .234540309463945 - -0.23453973413934093 0.2345403094639454 -0.23453973413934093 5.753246044848392e-07 
