Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265035e-04 0.000732530134703524 0.0419708850846616 -5.36706896e-05 -7.32675387e-02 0.146535116627164 8.39584373319382 -0.01610334 -7.32674443 14.65350851729002 839.584193099723 L 1.13686838e-16 3.04634096e-15 3.44875517e-15 3.44073214e-13 L  9.99999732e-01 -7.32530069e-04 -1.07341379e-04 -1.46535077e-01 L .01298384833942277 2.00220721233471 L .00289759917908863 L -0.0028970238532132677 0.002897599179088631 -0.0028970238532132677 5.753258753632071e-07 
0.02 i  0.49999785 -0.00146528 0.002930556176273811 0.167908500526485 -0.00042943 -0.14653437 0.293069997299781 16.791673947187 -0.06441618 -7.32656745 14.65344952552409 839.580813120509 i  1.70530257e-16 -1.07003295e-15 9.47347756e-15 2.76799028e-13 i  0.99999571 -0.00293055 -0.00085886 -0.29306874 i .0519376787817090 2.00234990799389 i .01159037805326093 i -0.011589802727440346 0.011590378053260937 -0.011589802727440346 5.753258205919154e-07 
0.03 n  0.49998913 -0.00329694 0.006593925570968963 0.3778041056399132 -0.00144935 -0.21979695 0.43960346212448 25.187423039072 -0.14493419 -7.32580053 14.65319388369030 839.566165922365 n 3.97903932e-16 4.77218265e-15 5.14857046e-14 6.49492904e-13 n  0.99997826 -0.00659388 -0.00289869 -0.43959391 n .1168579972777599 2.00296826537729 n .02607816864023878 n -0.026077593314467278 0.026078168640238788 -0.026077593314467278 5.753257715096494e-07 
0.04 k  0.49996565 -0.00586117 0.01172261078815502 0.671656123035810 -0.00343542 -0.29304609 0.586132443384945 33.58291524164802 -0.25764466 -7.32373582 14.6525056204233 839.52673134197 k 2.27373675e-15 3.94217992e-14 1.78864035e-13 1.21633548e-12 k  0.99993129 -0.01172234 -0.00687085 -0.58609217 k .2077345581958396 2.004633004199626 k .0463603176741182 k -0.04635974234823689 0.04636031767411825 -0.04635974234823689 5.753258813592788e-07 
0.05 '0'  0.49991613 -0.00915776 0.01831654024892074 1.04946045154466 -0.00670944 -0.36626407 0.732651041891452 41.9778125562426 -0.40251457 -7.31938273 14.65105442273507 839.443583839198 '0' -3.29691829e-15 -5.51931834e-14 -2.01034744e-13 -9.33709998e-13 '0'  0.99983226 -0.01831552 -0.01341888 -0.73252814 '0' .324540726124006 2.00814282941504 '0' .0724351267505290 '0' -0.07243455142482959 0.07243512675052902 -0.07243455142482959 5.753256994284195e-07 
0.06 '0'  0.49982609 -0.01318625 0.02637556529532905 1.511208573694079 -0.01159269 -0.4394219  0.879149583994895 50.3715607235895 -0.57947531 -7.31146869 14.6484157365493 839.292398257294 '0' 8.92441676e-15 5.73976422e-14 5.93740168e-13 1.81796622e-12 '0'  0.99965218 -0.02637251 -0.02318538 -0.8788438  '0' .4672211963813044 2.014523782874815 '0' .1042990688439478 '0' -0.10429849351835527 0.10429906884394789 -0.10429849351835527 5.753255926249645e-07 
0.07 '2'  0.49967784 -0.01794585 0.0358994177372350 2.05688512332065 -0.01840551 -0.51247643 1.02561368010692 58.763335281007 -0.78840319 -7.29844084 14.64407097249874 839.043461614217 '1' -1.52340363e-14 -1.25329080e-13 -6.23582963e-13 -1.42802037e-12 '1'  0.99935569 -0.03589171 -0.03681103 -1.02495286 '2' .635676237217977 2.025027916519535 '2' .141945781878962 '2' -0.141945206553519 0.1419457818789624 -0.141945206553519 5.753254433971122e-07 
0.08 -  0.49945049 -0.02343524 0.04688765799554897 2.68646491439778 -0.02746665 -0.5853676  1.172023286008857 67.1519877793617 -1.02909563 -7.27846895 14.63740787424742 838.661694205935 - 3.34239303e-14 1.48837387e-13 1.34962974e-12 2.19927188e-12 -  0.99890098 -0.04687048 -0.05493329 -1.1707352  - .82974249875494 2.041130918904154 - .185364840640914 - -0.18536426531498715 0.1853648406409142 -0.18536426531498715 5.753259270657729e-07 
0.09 -  0.49911996 -0.0296524  0.0593396138827776 3.399909433419064 -0.03909229 -0.65801568 1.31835176897915 75.5359922761114 -1.30124315 -7.2494502  14.62772111906977 838.106684017079 { -1.02886588e-14 -1.06378906e-13 2.88039814e-13 3.62888386e-13 {  0.99823992 -0.0593048  -0.07818458 -1.31603137 - .049170468742351 2.06452824819299 - .2345403094639453 - -0.2345397341393409 0.23454030946394538 -0.2345397341393409 5.753246044848392e-07 
0.1 -  0.49865905 -0.03659441 0.0732543100770091 4.19716279855528 -0.05359489 -0.73031858 1.46456498138670 83.9133922561140 -1.60439747 -7.20901651 14.6142132325941 837.332739131886 P -8.19113666e-14 -3.21577431e-13 -2.16927987e-12 -2.14811280e-12 P  0.9973181  -0.07318881 -0.10718977 -1.46063717 - .293598704674097 2.09712924971261 - .289449079442342 - -0.2894485041177901 0.2894490794423424 -0.2894485041177901 5.753245522766015e-07 
0.11 -  0.49803745 -0.0442572  0.0886303883860978 5.07814719112871 -0.07128154 -0.80214925 1.61062034541170 92.2817481899934 -1.93793579 -7.15454506 14.59599591131132 836.288963508345 o 8.46966941e-15 1.36779477e-14 -7.19353466e-14 -1.19371180e-14 o  0.9960749 -0.0885144 -0.14256309 -1.6042985  - .562525038554496 2.141048666959693 - .3500589960610518 - -0.3500584207350339 0.35005899606105184 -0.3500584207350339 5.753260179375275e-07 
0.12 -  0.49722181 -0.0526353  0.1054660189330091 6.0427577669082 -0.09245212 -0.87335317 1.756465953460310 100.6380859916978 -2.30102161 -7.08317283 14.57209185742844 834.919362107602 i 1.32331479e-13 2.52740051e-13 3.31375816e-12 1.75396053e-12 i  0.99444361 -0.10527061 -0.18490424 -1.74670635 - .855275036063688 2.198594894538494 - .4163267856001746 - -0.41632621027381744 0.41632678560017466 -0.41632621027381744 5.753263572216838e-07 
0.13 -  0.49617582 -0.06172156 0.1237588024457626 7.09085705773553 -0.11739686 -0.94374611 1.9020396899516 108.9788467005989 -2.69256278 -6.99181612 14.54143724060020 833.162981940753 n 2.74269496e-13 4.15525392e-13 7.12711312e-12 2.61798050e-12 n  0.99235165 -0.12344312 -0.23479372 -1.88749222 - .17096809784373 2.27225427361670 - .488195791869664 - -0.48819521654332737 0.4881957918696642 -0.48819521654332737 5.753263368490913e-07 
0.14 -  0.49486036 -0.07150681 0.143505663901433 8.22226887777501 -0.14639363 -1.01311197 2.04726838137432 117.2998377833283 -3.1111671  -6.87719582 14.50288490959370 830.954096083689 t 3.40151018e-13 3.91082722e-13 8.87439455e-12 1.99361239e-12 t  0.98972072 -0.14301361 -0.29278725 -2.02622394 - .508481717805982 2.364670699730094 - .565593538776160 - -0.5655929634501288 0.5655935387761606 -0.5655929634501288 5.753260318153153e-07 
0.15 -  0.49323357 -0.08197955 0.1647027378448741 9.4367717527609 -0.17970466 -1.08120102 2.19206698274483 125.5961865212558 -3.55509654 -6.73586941 14.45520848360419 828.222438092223 O 4.25359303e-13 3.81689347e-13 1.06289519e-11 9.76797310e-13 A  0.98646714 -0.1639591  -0.35940933 -2.16240204 - .86641456134396 2.47861980448891 - .648429138766291 - -0.6484285634400725 0.6484291387662915 -0.6484285634400725 5.753262189989172e-07 
0.16 -  0.49125107 -0.09312563 0.187345245793284 10.73409189579623 -0.21757292 -1.14772846 2.336337809936415 133.8622960261944 -4.02222104 -6.56427066 14.39710745717315 824.893494492346 } 6.41875886e-13 5.07583309e-13  1.40581449e-11 -4.83396434e-13 }  0.98250215 -0.18625125 -0.43514584 -2.29545692 - .243049193852280 2.616976993083650 - .736590572545392 - -0.7365899972176585 0.7365905725453925 -0.7365899972176585 5.753277340092566e-07 
0.17 -  0.48886618 -0.10492785 0.2114273662377891 12.11389575899207 -0.2602179  -1.21237339 2.479969828688029 142.0918045036058 -4.5099731  -6.35875765 14.32721345387792 820.888863090256 - 9.29844646e-13 6.69970746e-13  1.70313683e-11 -2.70074452e-12 -  0.97773237 -0.2098557  -0.52043579 -2.42474678 - .636315473792936 2.782678675071261 - .829941871472411 - -0.8299412961419432 0.8299418714724113 -0.8299412961419432 5.753304680444771e-07 
0.18 -  0.48603015 -0.11736563 0.236942097868659 13.5757821968498 -0.30783104 -1.27477836 2.622838012448538 150.2775484597825 -5.01530466 -6.11567005 14.24409776148613 816.126684704898 - 6.26414476e-13 3.81575660e-13  9.00314490e-12 -2.49337972e-12 -  0.9720603  -0.23473126 -0.61566208 -2.54955671 - .043755819869292 2.97867612366744 - .928320240710366 - -0.9283196653808228 0.9283202407103661 -0.9283196653808228 5.753295433397199e-07 
0.19 -  0.48269247 -0.13041464 0.263881116778068 15.11927428458213 -0.36057076 -1.33454949 2.76480278250640 158.4115306236435 -5.53464818 -5.83139595 14.14628027439842 810.522155532197 - -2.56193289e-13 -2.41612952e-13 -4.27564828e-12  1.78260962e-12 -  0.96538494 -0.26082928 -0.72114152 -2.66909898 - .46249376149743 3.207881545420466 - .031533168433057 - -1.0315325931101516 1.0315331684330573 -1.0315325931101516 5.753229057603448e-07 
0.2 -  0.47880124 -0.14404641 0.292234628537266 16.74381084275872 -0.41855704 -1.39125734 2.9057095450656 166.484893423142 -6.06388359 -5.50244875 14.03223995720164 803.988126662489 - -2.27873898e-12 -1.59963065e-12 -2.12124860e-11  1.05351319e-11 -  0.95760249 -0.28809283 -0.83711408 -2.78251469 - .88920737622515 3.47310614380272 - .139355574019319 - -1.1393549987136367 1.1393555740193198 -1.1393549987136367 5.753056830926084e-07 
0.21 -  0.47430358 -0.15822803 0.32199121619076 18.44873772801535 -0.48186581 -1.4444386  3.045388340967436 174.487898915781 -6.59831371 -5.12555378 13.90042692536127 796.435796253212 -  1.25896804e-12 -1.67460712e-13  2.32410571e-11 -1.80489224e-11 -  0.94860717 -0.31645607 -0.96373162 -2.88887721 - .32010939483140 3.77699022156671 - .251527055999058 - -1.2515264806617317 1.2515270559990586 -1.2515264806617317 5.753373268913009e-07 
0.22 -  0.46914609 -0.17292179 0.3531376853901569 20.23329895987466 -0.55052307 -1.49359866 3.183653624619436 182.4099161222205 -7.13265017 -4.69774445 13.74927621472335 787.775498463256 - 1.42301815e-12 1.83206339e-13  1.32448577e-11 -1.23347945e-11 -  0.93829219 -0.34584357 -1.10104614 -2.98719732 - .750935900183657 4.121925690474725 - .367749308168228 - -1.3677487328305467 1.3677493081682286 -1.3677487328305467 5.753376819406242e-07 
0.23 -  0.46327539 -0.18808487 0.385658908019923 22.09662776116565 -0.62449897 -1.53821521 3.320304189242426 190.2394167431976 -7.6610126  -4.21646683 13.57722328039566 777.917591473438 - -2.74388867e-12 -8.32557134e-13 -2.06223376e-11  2.26757493e-11 -  0.92655077 -0.37616973 -1.24899793 -3.07643041 - .17694564213676 4.50997174216059 - .487683780119363 - -1.48768320482194 1.4876837801193636 -1.48768320482194 5.75297423699439e-07 
0.24 -  0.45663868 -0.20366913 0.41953766588528 24.0377376019963 -0.70370194 -1.57774293 3.455123255788520 197.9639802541822 -8.17694346 -3.67969124 13.38272122679972 766.773444695763 - -1.24634880e-12 -7.86485543e-13 -1.87969817e-12  3.00133252e-14 -  0.91327736 -0.40733826 -1.40740389 -3.15548586 - .59293201987837 4.94276487689442 - .610949664580240 - -1.6109490892612244 1.6109496645802408 -1.6109490892612244 5.75319016427045e-07 
0.25 -  0.44918445 -0.21962089 0.4547544961868632 26.05551334610535 -0.78797311 -1.61161932 3.587878742632954 205.570309357572 -8.67344111 -3.08602873 13.16425972470401 754.256522639591 -  2.54925681e-12 -6.79960976e-13  1.68830638e-11 -3.71171609e-11 -  0.89836889 -0.43924177 -1.57594622 -3.22323865 - .9932497245486 5.4214249774553 - .737122299513237 - -1.7371217241507102 1.7371222995132376 -1.7371217241507102 5.753625273996477e-07 
0.26 -  0.44086309 -0.23588077 0.4912875406563781 28.1487026069723 -0.87708106 -1.63927169 3.71832373250532 213.0442567358863 -9.14301328 -2.43484975 12.92038551793112 740.283559859403 -  1.75958803e-12 -5.25517407e-13  6.88964974e-12 -2.08724487e-11 -  0.88172618 -0.47176154 -1.75416212 -3.27854337 - .37185787004989 5.94645963839969 - .86573207740004 - -1.865731502052891 1.865732077400043 -1.865731502052891 5.753471519209796e-07 
0.27 -  0.43162772 -0.25238366 0.52911240041073 30.315907431571 -0.9707173  -1.66012531 3.846197151819177 220.3708639744768 -9.57775294 -1.72640156 12.64972436246663 724.775817973154 -  4.19220214e-13 -1.83973725e-13  8.12406142e-13 -6.16410034e-13 -  0.86325544 -0.50476731 -1.94143461 -3.32025062 - .72238115053812 6.517669495483362 - .99626395521244 - -1.9962633798882476 1.996263955212447 -1.9962633798882476 5.753241993922131e-07 
0.28 -  0.42143494 -0.26905872 0.568201998723392 32.5555764377481 -1.06849262 -1.67361282 3.971224675628067 227.534413411697 -9.96943789 -0.96192038 12.3510041752844 707.66041199225 -  1.91221261e-13 -1.21133326e-13 5.02723196e-13 2.56522981e-12 -  0.84286987 -0.53811744 -2.13698525 -3.34722564 - .03819013511850 7.13405781730615 - .128157657253575 - -2.128157081933607 2.1281576572535754 -2.128157081933607 5.753199685543109e-07 
0.29 -  0.41024564 -0.28582952 0.608526454016663 34.8659975372165 -1.16993451 -1.67918457 4.09311986894088 234.5184935314531 -10.30965471  -0.14373357 12.02307910091907 688.871689234607 -  3.28554961e-14 -4.99085218e-14 8.47194315e-13 4.57885108e-12 -  0.82049127 -0.57165905 -2.33986901 -3.35836914 - .31250123598982 7.79374808730839 - .26080865967587 - -2.2608080843589464 2.260808659675873 -2.2608080843589464 5.753169265432234e-07 
