Time:,Body1,x,y,phi(r),phi(d),dx/dt,dy/dt,dphi/dt(r),dphi/dt(d),d2x/dt2,d2y/dt2,d2phi/dt2(r),d2phi/dt2(d),Point1,x,y,dx/dt,dy/dt,Point2,x,y,dx/dt,dy/dt,Lam1,x,y,Kin1,-,Pot1,-,TotKin,TotPot,Total,,
Time:,Link002,-,-,-,-,-,-,-,-,-,-,-,-,Link001-{PointO},-,-,-,-,Link001-{PointA},-,-,-,-,Link002,-,-,Link002,-,Link002,-,,,,,
0,0,0.01,L,5.00E-01,-3.66E-04,0.00073253,0.041970885,-5.37E-05,-7.33E-02,0.146535117,8.395843733,-0.01610334,-7.32674443,14.65350852,839.5841931,L,0.00E+00,-2.95E-16,-2.12E-16,-2.54E-14,L,1.00E+00,-7.33E-04,-1.07E-04,-1.47E-01,L,-0.000859383,-2002.197701,L,0.002897599,L,-0.002897024,0.002897599,-0.002897024,5.75E-07
0.02,i,0.49999785,-0.00146528,0.002930556,0.167908501,-0.00042943,-0.14653437,0.293069997,16.79167395,-0.06441618,-7.32656745,14.65344953,839.5808131,i,5.68E-17,1.58E-17,-1.38E-16,-3.61E-15,i,0.99999571,-0.00293055,-0.00085886,-0.29306874,i,12.98384834,-2002.207212,i,0.011590378,i,-0.011589803,0.011590378,-0.011589803,5.75E-07,,
0.03,n,0.49998913,-0.00329694,0.006593926,0.377804106,-0.00144935,-0.21979695,0.439603462,25.18742304,-0.14493419,-7.32580053,14.65319388,839.5661659,n,-1.14E-16,-3.12E-15,-5.33E-15,-6.82E-14,n,0.99997826,-0.00659388,-0.00289869,-0.43959391,n,51.93767878,-2002.349908,n,0.026078169,n,-0.026077593,0.026078169,-0.026077593,5.75E-07,,
0.04,k,0.49996565,-0.00586117,0.011722611,0.671656123,-0.00343542,-0.29304609,0.586132443,33.58291524,-0.25764466,-7.32373582,14.65250562,839.5267313,k,1.14E-16,1.41E-15,4.90E-15,3.43E-14,k,0.99993129,-0.01172234,-0.00687085,-0.58609217,k,116.8579973,-2002.968265,k,0.046360318,k,-0.046359742,0.046360318,-0.046359742,5.75E-07,,
0.05,'0',0.49991613,-0.00915776,0.01831654,1.049460452,-0.00670944,-0.36626407,0.732651042,41.97781256,-0.40251457,-7.31938273,14.65105442,839.4435838,'0',6.82E-16,6.30E-15,3.93E-14,1.74E-13,'0',0.99983226,-0.01831552,-0.01341888,-0.73252814,'0',207.7345582,-2004.633004,'0',0.072435127,'0',-0.072434551,0.072435127,-0.072434551,5.75E-07,,
0.06,'0',0.49982609,-0.01318625,0.026375565,1.511208574,-0.01159269,-0.4394219,0.879149584,50.37156072,-0.57947531,-7.31146869,14.64841574,839.2923983,'0',1.25E-15,8.69E-15,6.82E-14,2.08E-13,'0',0.99965218,-0.02637251,-0.02318538,-0.8788438,'0',324.5407261,-2008.142829,'0',0.104299069,'0',-0.104298494,0.104299069,-0.104298494,5.75E-07,,
0.07,'2',0.49967784,-0.01794585,0.035899418,2.056885123,-0.01840551,-0.51247643,1.02561368,58.76333528,-0.78840319,-7.29844084,14.64407097,839.0434616,'1',1.88E-15,1.05E-14,8.02E-14,1.77E-13,'1',0.99935569,-0.03589171,-0.03681103,-1.02495286,'2',467.2211964,-2014.523783,'2',0.141945782,'2',-0.141945207,0.141945782,-0.141945207,5.75E-07,,
0.08,-,0.49945049,-0.02343524,0.046887658,2.686464914,-0.02746665,-0.5853676,1.172023286,67.15198778,-1.02909563,-7.27846895,14.63740787,838.6616942,-,5.68E-17,-1.16E-15,-1.39E-14,-2.14E-14,-,0.99890098,-0.04687048,-0.05493329,-1.1707352,-,635.6762372,-2025.027917,-,0.185364841,-,-0.185364265,0.185364841,-0.185364265,5.75E-07,,
0.09,-,0.49911996,-0.0296524,0.059339614,3.399909433,-0.03909229,-0.65801568,1.318351769,75.53599228,-1.30124315,-7.2494502,14.62772112,838.106684,{,-4.89E-15,-2.62E-14,-1.11E-13,-1.42E-13,{,0.99823992,-0.0593048,-0.07818458,-1.31603137,-,829.7424988,-2041.130919,-,0.234540309,-,-0.234539734,0.234540309,-0.234539734,5.75E-07,,
0.1,-,0.49865905,-0.03659441,0.07325431,4.197162799,-0.05359489,-0.73031858,1.464564981,83.91339226,-1.60439747,-7.20901651,14.61421323,837.3327391,P,8.53E-15,2.38E-14,2.78E-13,2.66E-13,P,0.9973181,-0.07318881,-0.10718977,-1.46063717,-,1049.170469,-2064.528248,-,0.289449079,-,-0.289448504,0.289449079,-0.289448504,5.75E-07,,
0.11,-,0.49803745,-0.0442572,0.088630388,5.078147191,-0.07128154,-0.80214925,1.610620345,92.28174819,-1.93793579,-7.15454506,14.59599591,836.2889635,o,-1.37E-14,-4.45E-14,-3.02E-13,-2.26E-13,o,0.9960749,-0.0885144,-0.14256309,-1.6042985,-,1293.598705,-2097.12925,-,0.350058996,-,-0.350058421,0.350058996,-0.350058421,5.75E-07,,
0.12,-,0.49722181,-0.0526353,0.105466019,6.042757767,-0.09245212,-0.87335317,1.756465953,100.638086,-2.30102161,-7.08317283,14.57209186,834.9193621,i,1.27E-14,2.45E-14,3.18E-13,1.71E-13,i,0.99444361,-0.10527061,-0.18490424,-1.74670635,-,1562.525039,-2141.048667,-,0.416326786,-,-0.41632621,0.416326786,-0.41632621,5.75E-07,,
0.13,-,0.49617582,-0.06172156,0.123758802,7.090857058,-0.11739686,-0.94374611,1.90203969,108.9788467,-2.69256278,-6.99181612,14.54143724,833.1629819,n,-1.48E-15,-1.69E-14,1.78E-13,6.14E-14,n,0.99235165,-0.12344312,-0.23479372,-1.88749222,-,1855.275036,-2198.594895,-,0.488195792,-,-0.488195217,0.488195792,-0.488195217,5.75E-07,,
0.14,-,0.49486036,-0.07150681,0.143505664,8.222268878,-0.14639363,-1.01311197,2.047268381,117.2998378,-3.1111671,-6.87719582,14.50288491,830.9540961,t,-3.63E-14,-6.76E-14,-6.44E-13,-1.63E-13,t,0.98972072,-0.14301361,-0.29278725,-2.02622394,-,2170.968098,-2272.254274,-,0.565593539,-,-0.565592963,0.565593539,-0.565592963,5.75E-07,,
0.15,-,0.49323357,-0.08197955,0.164702738,9.436771753,-0.17970466,-1.08120102,2.192066983,125.5961865,-3.55509654,-6.73586941,14.45520848,828.2224381,O,7.96E-16,-1.39E-15,-5.61E-14,2.05E-15,A,0.98646714,-0.1639591,-0.35940933,-2.16240204,-,2508.481718,-2364.6707,-,0.648429139,-,-0.648428563,0.648429139,-0.648428563,5.75E-07,,
0.16,-,0.49125107,-0.09312563,0.187345246,10.7340919,-0.21757292,-1.14772846,2.33633781,133.862296,-4.02222104,-6.56427066,14.39710746,824.8934945,},2.48E-14,2.26E-14,3.87E-13,-2.96E-15,},0.98250215,-0.18625125,-0.43514584,-2.29545692,-,2866.414561,-2478.619804,-,0.736590573,-,-0.736589997,0.736590573,-0.736589997,5.75E-07,,
0.17,-,0.48886618,-0.10492785,0.211427366,12.11389576,-0.2602179,-1.21237339,2.479969829,142.0918045,-4.5099731,-6.35875765,14.32721345,820.8888631,-,5.28E-14,4.02E-14,8.45E-13,-1.22E-13,-,0.97773237,-0.2098557,-0.52043579,-2.42474678,-,3243.049194,-2616.976993,-,0.829941871,-,-0.829941296,0.829941871,-0.829941296,5.75E-07,,
0.18,-,0.48603015,-0.11736563,0.236942098,13.5757822,-0.30783104,-1.27477836,2.622838012,150.2775485,-5.01530466,-6.11567005,14.24409776,816.1266847,-,3.89E-14,2.33E-14,5.00E-13,-1.26E-13,-,0.9720603,-0.23473126,-0.61566208,-2.54955671,-,3636.315474,-2782.678675,-,0.928320241,-,-0.928319665,0.928320241,-0.928319665,5.75E-07,,
0.19,-,0.48269247,-0.13041464,0.263881117,15.11927428,-0.36057076,-1.33454949,2.764802783,158.4115306,-5.53464818,-5.83139595,14.14628027,810.5221555,-,-1.34E-14,-1.51E-14,-2.87E-13,1.31E-13,-,0.96538494,-0.26082928,-0.72114152,-2.66909898,-,4043.75582,-2978.676124,-,0.031533168,-,-1.031532593,1.031533168,-1.031532593,5.75E-07,,
0.2,-,0.47880124,-0.14404641,0.292234629,16.74381084,-0.41855704,-1.39125734,2.905709545,166.4848934,-6.06388359,-5.50244875,14.03223996,803.9881267,-,-2.35E-13,-1.58E-13,-2.30E-12,1.16E-12,-,0.95760249,-0.28809283,-0.83711408,-2.78251469,-,4462.493761,-3207.881545,-,0.139355574,-,-1.139354999,1.139355574,-1.139354999,5.75E-07,,
0.21,-,0.47430358,-0.15822803,0.321991216,18.44873773,-0.48186581,-1.4444386,3.045388341,174.4878989,-6.59831371,-5.12555378,13.90042693,796.4357963,-,5.84E-14,-4.30E-14,1.66E-12,-1.34E-12,-,0.94860717,-0.31645607,-0.96373162,-2.88887721,-,4889.207376,-3473.106144,-,0.251527056,-,-1.251526481,1.251527056,-1.251526481,5.75E-07,,
0.22,-,0.46914609,-0.17292179,0.353137685,20.23329896,-0.55052307,-1.49359866,3.183653625,182.4099161,-7.13265017,-4.69774445,13.74927621,787.7754985,-,1.88E-13,2.61E-14,1.85E-12,-1.72E-12,-,0.93829219,-0.34584357,-1.10104614,-2.98719732,-,5320.109395,-3776.990222,-,0.367749308,-,-1.367748733,1.367749308,-1.367748733,5.75E-07,,
0.23,-,0.46327539,-0.18808487,0.385658908,22.09662776,-0.62449897,-1.53821521,3.320304189,190.2394167,-7.6610126,-4.21646683,13.57722328,777.9175915,-,-2.09E-13,-6.22E-14,-1.63E-12,1.84E-12,-,0.92655077,-0.37616973,-1.24899793,-3.07643041,-,5750.9359,-4121.92569,-,0.48768378,-,-1.487683205,1.48768378,-1.487683205,5.75E-07,,
0.24,-,0.45663868,-0.20366913,0.419537666,24.0377376,-0.70370194,-1.57774293,3.455123256,197.9639803,-8.17694346,-3.67969124,13.38272123,766.7734447,-,-2.36E-13,-7.57E-14,-1.06E-12,1.33E-12,-,0.91327736,-0.40733826,-1.40740389,-3.15548586,-,6176.945642,-4509.971742,-,0.610949665,-,-1.610949089,1.610949665,-1.610949089,5.75E-07,,
0.25,-,0.44918445,-0.21962089,0.454754496,26.05551335,-0.78797311,-1.61161932,3.587878743,205.5703094,-8.67344111,-3.08602873,13.16425972,754.2565226,-,7.21E-14,-6.46E-14,8.08E-13,-1.96E-12,-,0.89836889,-0.43924177,-1.57594622,-3.22323865,-,6592.93202,-4942.764877,-,0.737122299,-,-1.737121724,1.737122299,-1.737121724,5.75E-07,,
0.26,-,0.44086309,-0.23588077,0.491287541,28.14870261,-0.87708106,-1.63927169,3.718323733,213.0442567,-9.14301328,-2.43484975,12.92038552,740.2835599,-,1.77E-13,-8.00E-14,9.05E-13,-3.03E-12,-,0.88172618,-0.47176154,-1.75416212,-3.27854337,-,6993.249725,-5421.424977,-,0.865732077,-,-1.865731502,1.865732077,-1.865731502,5.75E-07,,
0.27,-,0.43162772,-0.25238366,0.5291124,30.31590743,-0.9707173,-1.66012531,3.846197152,220.370864,-9.57775294,-1.72640156,12.64972436,724.775818,-,1.53E-13,-8.99E-14,4.34E-13,-2.80E-12,-,0.86325544,-0.50476731,-1.94143461,-3.32025062,-,7371.85787,-5946.459638,-,0.996263955,-,-1.99626338,1.996263955,-1.99626338,5.75E-07,,
0.28,-,0.42143494,-0.26905872,0.568201999,32.55557644,-1.06849262,-1.67361282,3.971224676,227.5344134,-9.96943789,-0.96192038,12.35100418,707.660412,-,3.29E-14,-5.99E-14,-5.12E-14,-1.36E-12,-,0.84286987,-0.53811744,-2.13698525,-3.34722564,-,7722.381151,-6517.669495,-,0.128157657,-,-2.128157082,2.128157657,-2.128157082,5.75E-07,,
0.29,-,0.41024564,-0.28582952,0.608526454,34.86599754,-1.16993451,-1.67918457,4.093119869,234.5184935,-10.30965471,-0.14373357,12.0230791,688.8716892,-,-1.46E-13,4.06E-14,-1.75E-14,1.37E-12,-,0.82049127,-0.57165905,-2.33986901,-3.35836914,-,8038.190135,-7134.057817,-,0.26080866,-,-2.260808084,2.26080866,-2.260808084,5.75E-07,,
0.3,-,0.39802587,-0.30261428,0.650052965,37.24529138,-1.27448596,-1.67632002,4.211585572,241.3060783,-10.58994696,0.72465313,11.66495413,668.35264,-,-1.15E-13,6.79E-14,3.77E-13,1.84E-12,-,0.79605174,-0.60522857,-2.54897191,-3.35264004,-,8312.501236,-7793.748087,-,0.393570037,-,-2.393569462,2.393570037,-2.393569462,5.75E-07,,
0.31,-,0.38474768,-0.3193262,0.692745714,39.69140568,-1.3815059,-1.66453987,4.326315532,247.8796208,-10.80198619,1.63848875,11.27580985,646.0563152,-,6.26E-14,-5.26E-14,-1.67E-13,-4.86E-13,-,0.76949536,-0.6386524,-2.7630118,-3.32907973,-,8538.496165,-8493.91368,-,0.52575524,-,-2.525754665,2.52575524,-2.525754665,5.75E-07,,
