Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L  4.99999866e-01 -3.66265035e-04 0.000732530134704861 0.0419708850847382 -5.36706896e-05 -7.32675387e-02 0.146535116627312 8.39584373320229 -0.01610334 -7.32674443 14.65350851729002 839.584193099723 L  0.00000000e+00 -2.94653191e-16 -2.12073414e-16 -2.53805865e-14 L  9.99999732e-01 -7.32530069e-04 -1.07341379e-04 -1.46535077e-01 L -0.0008593827555036772 -2002.1977012729626 L .00289759917911630 L -0.0028970238532449793 0.002897599179116302 -0.0028970238532449793 5.753258713226024e-07 
0.02 i  0.49999785 -0.00146528 0.00293055617627337 0.1679085005264610 -0.00042943 -0.14653437 0.293069997299893 16.7916739471943 -0.06441618 -7.32656745 14.65344952552409 839.580813120509 i 5.68434189e-17 1.57651669e-17 -1.37778677e-16 -3.60955710e-15 i  0.99999571 -0.00293055 -0.00085886 -0.29306874 i 12.983848339448134 -2002.207212334712 i .0115903780533029 i -0.011589802727430041 0.01159037805330295 -0.011589802727430041 5.753258729094407e-07 
0.03 n  0.49998913 -0.00329694 0.00659392557097212 0.3778041056400941 -0.00144935 -0.21979695 0.439603462124775 25.1874230390887 -0.14493419 -7.32580053 14.653193883690 839.566165922365 n -1.13686838e-16 -3.11572990e-15 -5.33040279e-15 -6.81552592e-14 n  0.99997826 -0.00659388 -0.00289869 -0.43959391 n 51.93767878173304 -2002.3499079938981 n .02607816864040012 n -0.026077593314542163 0.026078168640400128 -0.026077593314542163 5.75325857964798e-07 
0.04 k  0.49996565 -0.00586117 0.01172261078817023 0.671656123036682 -0.00343542 -0.29304609 0.586132443385419 33.58291524167519 -0.25764466 -7.32373582 14.65250562042336 839.526731341976 k 1.13686838e-16 1.41486822e-15 4.8978599e-15 3.4333425e-14 k  0.99993129 -0.01172234 -0.00687085 -0.58609217 k 116.85799727788051 -2002.9682653772982 k .04636031767447304 k -0.046359742348597695 0.046360317674473045 -0.046359742348597695 5.753258753501966e-07 
0.05 '0'  0.49991613 -0.00915776 0.01831654024889611 1.049460451543249 -0.00670944 -0.36626407 0.73265104189100 41.97781255621712 -0.40251457 -7.31938273 14.65105442273508 839.443583839198 '0' 6.82121026e-16 6.30251407e-15 3.92530453e-14 1.74054549e-13 '0'  0.99983226 -0.01831552 -0.01341888 -0.73252814 '0' 207.7345581961536 -2004.6330041996328 '0' .0724351267501123 '0' -0.07243455142424578 0.07243512675011235 -0.07243455142424578 5.753258665724958e-07 
0.06 '0'  0.49982609 -0.01318625 0.02637556529534861 1.511208573695200 -0.01159269 -0.4394219  0.879149583995548 50.37156072362 -0.57947531 -7.31146869 14.64841573654930 839.292398257294 '0' 1.25055521e-15 8.68816130e-15 6.81623646e-14 2.08444817e-13 '0'  0.99965218 -0.02637251 -0.02318538 -0.8788438  '0' 324.5407261235973 -2008.1428294150273 '0' .1042990688446779 '0' -0.10429849351881787 0.10429906884467799 -0.10429849351881787 5.753258601193245e-07 
0.07 '2'  0.49967784 -0.01794585 0.0358994177371804 2.05688512331752 -0.01840551 -0.51247643 1.025613680106261 58.7633352809693 -0.78840319 -7.29844084 14.64407097249877 839.04346161421 '1' 1.87583282e-15 1.04520836e-14 8.02273803e-14 1.77010406e-13 '1'  0.99935569 -0.03589171 -0.03681103 -1.02495286 '2' 467.2211963818824 -2014.5237828748398 '2' .1419457818781062 '2' -0.1419452065522293 0.14194578187810625 -0.1419452065522293 5.753258769392033e-07 
0.08 -  0.49945049 -0.02343524 0.0468876579956095 2.686464914401258 -0.02746665 -0.5853676  1.172023286009789 67.1519877794151 -1.02909563 -7.27846895 14.63740787424738 838.661694205933 -  5.68434189e-17 -1.16173737e-15 -1.38875578e-14 -2.13731255e-14 -  0.99890098 -0.04687048 -0.05493329 -1.1707352  - 635.6762372171122 -2025.0279165194697 - .1853648406422873 - -0.18536426531641303 0.18536484064228734 -0.18536426531641303 5.753258743024237e-07 
0.09 -  0.49911996 -0.0296524  0.059339613882745 3.39990943341720 -0.03909229 -0.65801568 1.318351768979366 75.5359922761238 -1.30124315 -7.2494502  14.627721119069 838.106684017081 { -4.88853402e-15 -2.62296851e-14 -1.1065282e-13 -1.4199486e-13 {  0.99823992 -0.0593048  -0.07818458 -1.31603137 - 829.742498756184 -2041.1309189042627 - .2345403094643024 - -0.23453973413857898 0.23454030946430246 -0.23453973413857898 5.753257234786258e-07 
