Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: DapBody001 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - DapBody001 - - DapBody001 - DapBody001 - 
0.0 0.0 0.01 D -4.99999866e-01 -3.66098510e-04 .000732197084645953 .041951802721996  5.36503078e-05 -7.32730290e-02 .1465460972092870 .39647287420603  0.01610291 -7.32729346 4.65460657755828 39.647107318745 L -1.77351467e-14 -2.10442774e-16  4.31668590e-17 -4.39115411e-15 L -1.77351467e-14 -2.10442774e-16  4.31668590e-17 -4.39115411e-15 D 0.0007878569345475606 -500.4387572078072 D .000724454077606663 D -0.0007239266752223555 0.0007244540776066635 -0.0007239266752223555 5.274023843080062e-07 
0.02 a -0.49999785 -0.00146519 .002930387835098019 .1678988552875947  0.00042944 -0.14654535 .2930919584941429 6.7929322309378  0.06442299 -7.32711647 4.65454758502675 39.643727295665 i -1.77919901e-14 -1.19215748e-15  1.61060054e-15 -4.74926765e-14 i -1.77919901e-14 -1.19215748e-15  1.61060054e-15 -4.74926765e-14 a -3.245875596130733 -500.44113382846035 a .00289781164523778 a -0.0028972842428541075 0.002897811645237782 -0.0028972842428541075 5.274023836747237e-07 
0.03 p -0.49998913 -0.00329699 .0065940317443385 .377810188925885  0.00144948 -0.21981342 .4396364037795329 5.1893104568765  0.14495307 -7.32634941 4.65429190654742 39.62907799788 n -1.78488335e-14 -8.66862138e-16 -1.79056769e-15  2.29931629e-14 n -1.78488335e-14 -8.66862138e-16 -1.79056769e-15  2.29931629e-14 p -12.985792772613816 -500.4768107254811 p .00652003070284297 p -0.006519503300461595 0.006520030702842972 -0.006519503300461595 5.274023813766487e-07 
0.04 B -0.49996564 -0.00586142 .01172310127763532 .671684226012927  0.00343582 -0.29306804 .586176364742742 3.585431750080  0.25768043 -7.3242843  4.65360351770419 39.589636222507 k -1.77919901e-14 -1.54987134e-15  5.14077669e-15 -3.67208486e-14 k -1.77919901e-14 -1.54987134e-15  5.14077669e-15 -3.67208486e-14 B -29.218304869408083 -500.6314264297195 B .01159094790548467 B -0.011590420503100869 0.011590947905484674 -0.011590420503100869 5.274023838052616e-07 
0.05 o -0.49991612 -0.00915825 .0183175248428351 .049516864620489  0.0067103  -0.36629151 .732705940949863 1.9809580405888  0.40257204 -7.3199303  4.65215203125320 39.506472174844 '0' -1.80762072e-14  2.56328292e-15 -1.19948496e-14  5.35465006e-14 '0' -1.80762072e-14  2.56328292e-15 -1.19948496e-14  5.35465006e-14 o -51.94084981228072 -501.04769294600857 o .0181101385678633 o -0.01810961116547756 0.01811013856786334 -0.01810961116547756 5.274023857811116e-07 
0.06 d -0.49982607 -0.01318705 .0263771537524668 .511299585584010  0.01159426 -0.43945481 .879215456663561 0.3753349494894  0.57955928 -7.31201458 4.64951279769343 39.355255230720 '0' -1.84741111e-14  4.82636153e-15 -2.87521118e-14  8.79367690e-14 '0' -1.84741111e-14  4.82636153e-15 -2.87521118e-14  8.79367690e-14 d -81.1467668940306 -501.92533139386614 d .02607672075092489 d -0.02607619334853869 0.026076720750924893 -0.02607619334853869 5.274023862043842e-07 
0.07 y -0.4996778 -0.017947  .0359017197604772 .057017019536772  0.01840807 -0.51251478 .0256905191399 8.767737833299  0.78851843 -7.29898392 4.64516711113801 39.106265732008 '1' -1.79625204e-14  7.60280727e-16 8.59756710e-16 4.54747351e-16 '1' -1.79625204e-14  7.60280727e-16 8.59756710e-16 4.54747351e-16 y -116.8222259836922 -503.52090986394836 y .03548910359527744 y -0.035488576192890954 0.035489103595277446 -0.035488576192890954 5.274023864923483e-07 
0.08 '0' -0.49945041 -0.0234368  .0468907831946871 .686643975118543  0.02747053 -0.58541136 .172111079744212 7.1570179898652  1.02924682 -7.27900766 4.63850257777117 38.724416097664 - -1.44950718e-14 -2.04138928e-14  1.09967146e-13 -1.85536919e-13 - -1.44950718e-14 -2.04138928e-14  1.09967146e-13 -1.85536919e-13 '0' -158.94228689458922 -506.1475115952424 '0' .0463446802345966 '0' -0.046344152832231776 0.04634468023459669 -0.046344152832231776 5.274023649123882e-07 
0.09 '0' -0.49911984 -0.02965442 .05934367172235216 .40014193050062  0.03909789 -0.6580648  .318450499849477 5.5416491382888  1.3014349  -7.24998254 4.62881371664898 38.169285247074 { -1.93267624e-14 -2.84217094e-16 -1.11342047e-13  1.40062184e-13 { -1.93267624e-14 -2.84217094e-16 -1.11342047e-13  1.40062184e-13 '0' -207.46610018942357 -510.174141388614 '0' .0586394658803464 '0' -0.05863893847798718 0.05863946588034646 -0.05863893847798718 5.274023592780064e-07 
