Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: DapBody001 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - DapBody001 - - DapBody001 - DapBody001 - 
0.0 0.0 0.01 D  4.99999866e-01 -3.66098510e-04 3.142324850674439 180.0419518027220 -5.36503078e-05 -7.32730290e-02 0.146546097209294 8.39647287420644 -0.01610291 -7.32729346 14.65460657755828 839.647107318745 L  1.76783033e-14 -3.60822483e-18 -1.93373095e-16 -2.22257768e-14 L  1.76783033e-14 -3.60822483e-18 -1.93373095e-16 -2.22257768e-14 D -0.0007878569346751152 -500.4387572078072 D .000724454077606997 D -0.0007239266752225045 0.0007244540776069975 -0.0007239266752225045 5.27402384492971e-07 
0.02 a  0.49999785 -0.00146519 3.14452304142489 180.1678988552876 -0.00042944 -0.14654535 0.293091958494123 16.79293223093676 -0.06442299 -7.32711647 14.65454758502675 839.64372729566 i 1.76783033e-14 7.06767977e-16 1.16129328e-16 1.73372428e-15 i 1.76783033e-14 7.06767977e-16 1.16129328e-16 1.73372428e-15 a 3.245875596131778 -500.44113382846035 a .002897811645235939 a -0.002897284242851087 0.0028978116452359395 -0.002897284242851087 5.274023848526009e-07 
0.03 p  0.49998913 -0.00329699 3.148186685334134 180.3778101889260 -0.00144948 -0.21981342 0.4396364037795729 25.18931045687884 -0.14495307 -7.32634941 14.65429190654742 839.629077997888 n  1.75646164e-14 -2.38964404e-15 -5.82422999e-15 -7.69944108e-14 n  1.75646164e-14 -2.38964404e-15 -5.82422999e-15 -7.69944108e-14 p 12.985792772613754 -500.47681072548113 p .00652003070284859 p -0.006519503300467161 0.006520030702848592 -0.006519503300467161 5.274023814312925e-07 
0.04 B  0.49996564 -0.00586142 3.15331575486742 180.6716842260129 -0.00343582 -0.29306804 0.586176364742702 33.5854317500780 -0.25768043 -7.3242843  14.65360351770419 839.589636222507 k 1.77919901e-14 2.87858626e-15 9.12558917e-15 6.25846042e-14 k 1.77919901e-14 2.87858626e-15 9.12558917e-15 6.25846042e-14 B 29.218304869415444 -500.6314264297197 B .0115909479054772 B -0.011590420503091848 0.01159094790547722 -0.011590420503091848 5.274023853717169e-07 
0.05 o  0.49991612 -0.00915825 3.15991017843262 181.0495168646204 -0.0067103  -0.36629151 0.732705940949813 41.9809580405860 -0.40257204 -7.3199303  14.65215203125320 839.50647217484 '0' 1.81898940e-14 6.47837339e-15 3.99857925e-14 1.77749371e-13 '0' 1.81898940e-14 6.47837339e-15 3.99857925e-14 1.77749371e-13 o 51.94084981227561 -501.0476929460085 o .0181101385678516 o -0.01810961116546932 0.01811013856785165 -0.01810961116546932 5.274023823290119e-07 
0.06 d  0.49982607 -0.01318705 3.1679698073422 181.5112995855840 -0.01159426 -0.43945481 0.879215456663512 50.375334949486 -0.57955928 -7.31201458 14.64951279769343 839.355255230720 '0' 1.88151716e-14 9.03277453e-15 6.86242174e-14 2.09467999e-13 '0' 1.88151716e-14 9.03277453e-15 6.86242174e-14 2.09467999e-13 d 81.14676689402243 -501.92533139386603 d .02607672075091111 d -0.026076193348530376 0.026076720750911116 -0.026076193348530376 5.274023807400052e-07 
0.07 y  0.4996778 -0.017947  3.177494373350267 182.057017019536 -0.01840807 -0.51251478 1.025690519139842 58.76773783329538 -0.78851843 -7.29898392 14.64516711113801 839.106265732008 '1' 1.94972927e-14 1.14326326e-14 8.47357740e-14 1.86787474e-13 '1' 1.94972927e-14 1.14326326e-14 8.47357740e-14 1.86787474e-13 y 116.82222598368348 -503.52090986394813 y .0354891035952525 y -0.03548857619286694 0.03548910359525256 -0.03548857619286694 5.274023856180476e-07 
0.08 '0'  0.49945041 -0.0234368  3.18848343678447 182.686643975118 -0.02747053 -0.58541136 1.172111079744143 67.1570179898613 -1.02924682 -7.27900766 14.63850257777117 838.724416097664 -  1.76214598e-14 -7.03437308e-16 -1.49142920e-14 -2.35331754e-14 -  1.76214598e-14 -7.03437308e-16 -1.49142920e-14 -2.35331754e-14 '0' 158.94228689456895 -506.1475115952411 '0' .04634468023457162 '0' -0.04634415283218663 0.046344680234571625 -0.04634415283218663 5.274023849935472e-07 
0.09 '0'  0.49911984 -0.02965442 3.20093632531215 183.4001419305013 -0.03909789 -0.6580648  1.318450499849593 75.5416491382954 -1.3014349  -7.24998254 14.62881371664897 838.16928524707 {  1.30171429e-14 -2.47055709e-14 -1.00364161e-13 -1.29375621e-13 {  1.30171429e-14 -2.47055709e-14 -1.00364161e-13 -1.29375621e-13 '0' 207.46610018939825 -510.1741413886115 '0' .0586394658803941 '0' -0.058638938478047214 0.05863946588039418 -0.058638938478047214 5.274023469684086e-07 
