Time: Body1 x y phi(r) phi(d) dx/dt dy/dt dphi/dt(r) dphi/dt(d) d2x/dt2 d2y/dt2 d2phi/dt2(r) d2phi/dt2(d) Point1 x y dx/dt dy/dt Point2 x y dx/dt dy/dt Lam1 x y Kin1 - Pot1 - TotKin TotPot Total
Time: Link002 - - - - - - - - - - - - Link001-{PointO} - - - - Link001-{PointA} - - - - Link002 - - Link002 - Link002 - 
0.0 0.0 0.01 L -4.99999866e-01 -3.66410509e-04 .000732821083957989 .0419875552489949  5.36920067e-05 -7.32675386e-02 .1465351166168958 .3958437326054  0.01610547 -7.32674442 4.65350851416631 39.584192920747 L  5.68434189e-17 -2.89379631e-16  1.31929190e-16 -1.49213975e-14 L  5.68434189e-17 -2.89379631e-16  1.31929190e-16 -1.49213975e-14 L -0.0008593827561526265 -2002.1977012729628 L .002897599178703728 L -0.002898174504578058 0.0028975991787037287 -0.002898174504578058 -5.753258743293119e-07 
0.02 i -0.49999785 -0.00146542 .00293084712513638 .1679251706683655  0.00042947 -0.14653437 .2930699972166077 6.7916739424224  0.06441831 -7.32656742 4.65344951302929 39.580812404610 i  5.68434189e-17 -8.37996339e-16  1.21980204e-15 -3.61524144e-14 i  5.68434189e-17 -8.37996339e-16  1.21980204e-15 -3.61524144e-14 i -12.985567099884584 -2002.2072173718989 i .01159037804671919 i -0.011590953372594434 0.011590378046719196 -0.011590953372594434 -5.753258752374396e-07 
0.03 n -0.49998913 -0.00329708 .00659421651814228 .3778207756850055  0.00144941 -0.21979695 .4396034618436208 5.187423022979  0.14493632 -7.32580047 4.65319385557735 39.56616431161 n  5.68434189e-17 -1.86117788e-15  9.93205518e-16 -1.21644916e-14 n  5.68434189e-17 -1.86117788e-15  9.93205518e-16 -1.21644916e-14 n -51.93939746605633 -2002.3499281424524 n .0260781686070328 n -0.026078743932920513 0.02607816860703288 -0.026078743932920513 -5.753258876320388e-07 
0.04 k -0.49996564 -0.00586132 .01172290173078617 .67167279282065  0.00343551 -0.29304608 .586132442719059 3.58291520349557  0.25764679 -7.32373572 4.6525055704465 39.526728478514 k  1.13686838e-16 -1.42996726e-16  1.28741462e-15 -8.24229573e-15 k  1.13686838e-16 -1.42996726e-16  1.28741462e-15 -8.24229573e-15 k -116.85971563234824 -2002.9683107096464 k .04636031756907122 k -0.0463608928949428 0.046360317569071226 -0.0463608928949428 -5.753258715754384e-07 
0.05 '0' -0.49991613 -0.0091579  .018316831181907 .049477120776900  0.00670955 -0.36626407 .732651040589556 1.97781248164956  0.40251669 -7.31938257 4.6510543446519 39.443579365363 '0' -3.41060513e-16  4.50128823e-15 -2.36992648e-14  1.04705578e-13 '0' -3.41060513e-16  4.50128823e-15 -2.36992648e-14  1.04705578e-13 '0' -207.73627566268314 -2004.6330847813895 '0' .0724351264927916 '0' -0.07243570181866105 0.07243512649279168 -0.07243570181866105 -5.753258693619312e-07 
0.06 '0' -0.49982609 -0.0131864  .0263758562108940 .511225241928149  0.01159282 -0.4394219  .879149581746748 0.3715605947802  0.57947743 -7.31146847 4.64841562412440 39.292391815822 '0' -9.09494702e-16  7.37720995e-15 -4.81321649e-14  1.46599177e-13 '0' -9.09494702e-16  7.37720995e-15 -4.81321649e-14  1.46599177e-13 '0' -324.5424417181338 -2008.1429552940938 '0' .1042990683111212 '0' -0.10429964363699043 0.10429906831112128 -0.10429964363699043 -5.753258691537644e-07 
0.07 '2' -0.49967784 -0.017946   .0358997086239688 .05690178990281  0.01840566 -0.51247642 .025613676535602 8.7633350763856  0.78840531 -7.29844054 4.64407081950928 39.043452848566 '1' -3.97903932e-16  2.72137868e-15 -1.43316470e-14  3.33102435e-14 '1' -3.97903932e-16  2.72137868e-15 -1.43316470e-14  3.33102435e-14 '2' -467.22290857345405 -2014.5239640623452 '2' .1419457808898022 '2' -0.14194635621566673 0.14194578088980223 -0.14194635621566673 -5.753258645047055e-07 
0.08 - -0.49945048 -0.02343539 .04688794883829016 .68648157845935  0.02746682 -0.58536759 .172023280680552 7.1519874740723  1.02909773 -7.27846855 4.6374076744910 38.661682760736 -  2.50111043e-15 -1.51878510e-14  8.77662387e-14 -1.48020263e-13 -  2.50111043e-15 -1.51878510e-14  8.77662387e-14 -1.48020263e-13 - -635.6779438079371 -2025.0281629602487 - .1853648389566259 - -0.18536541428255138 0.18536483895662592 -0.18536541428255138 -5.753259254559495e-07 
0.09 - -0.49911995 -0.02965254 .0593399046612760 .39992609379979  0.03909248 -0.65801567 .318351761392868 5.5359918414494  1.30124524 -7.2494497  4.6277208663757 38.106669538780 {  7.95807864e-16 -9.69890834e-15 -3.78719278e-14  4.69526640e-14 {  7.95807864e-16 -9.69890834e-15 -3.78719278e-14  4.69526640e-14 - -829.7441967634844 -2041.1312404345933 - .2345403067648577 - -0.23454088209085588 0.23454030676485776 -0.23454088209085588 -5.753259981200465e-07 
