Time:,Body1,x,y,phi(r),phi(d),dx/dt,dy/dt,dphi/dt(r),dphi/dt(d),d2x/dt2,d2y/dt2,d2phi/dt2(r),d2phi/dt2(d),Point1,x,y,dx/dt,dy/dt,Point2,x,y,dx/dt,dy/dt,Lam1,x,y,Kin1,-,Pot1,-,TotKin,TotPot,Total
Time:,Link002,-,-,-,-,-,-,-,-,-,-,-,-,Link001-{PointO},-,-,-,-,Link001-{PointA},-,-,-,-,Link002,-,-,Link002,-,Link002,-,,,
0.01,L,0.04999881,-0.00034505,0.006901045,0.395400736,-0.00047624,-0.06900885,1.380209812,79.08019707,-0.14286985,-6.90009596,138.0183519,7907.869061,L,2.13E-17,-2.41E-17,1.29E-14,1.57E-13,L,0.09999762,-0.0006901,-0.00095248,-0.13801769,L,0.012327266,0.25107579,L,0.000292064,L,-0.000292063,0.000292064,-0.000292063,1.11E-09
0.02,i,0.04998095,-0.00138,0.0276036,1.581569798,-0.00380912,-0.13795855,2.76022244,158.1490963,-0.57119423,-6.8853109,137.9690585,7905.044753,i,-2.84E-16,-5.42E-15,1.73E-14,5.33E-14,i,0.0999619,-0.00276001,-0.00761824,-0.27591709,i,0.049284458,0.252351491,i,0.00116809,i,-0.001168089,0.00116809,-0.001168089,1.11E-09
0.03,n,0.04990362,-0.00310309,0.062101726,3.558166807,-0.01284386,-0.20655368,4.139052366,237.1502318,-1.28240455,-6.82133985,137.7555752,7892.813065,n,-5.54E-15,-2.57E-14,-5.00E-13,-6.12E-13,n,0.09980723,-0.00620618,-0.02568771,-0.41310735,n,0.110649949,0.257871117,n,0.002626575,n,-0.002626574,0.002626575,-0.002626574,1.11E-09
0.04,k,0.04969576,-0.00550742,0.110372438,6.323874896,-0.03036871,-0.27402943,5.514141348,315.9370269,-2.26655533,-6.64989587,137.1817966,7859.937973,k,-7.00E-15,-2.74E-14,2.68E-15,-1.06E-14,k,0.09939151,-0.01101485,-0.06073743,-0.54805886,k,0.195565614,0.27266385,k,0.004661694,k,-0.004661693,0.004661694,-0.004661693,1.11E-09
0.05,'0',0.04925917,-0.0085752,0.172356097,9.875276954,-0.05900245,-0.33893222,6.880591288,394.2288414,-3.49808098,-6.29212434,135.9766301,7790.887016,'0',-3.89E-14,-5.81E-14,-2.05E-12,-1.63E-13,'0',0.09851834,-0.0171504,-0.1180049,-0.67786445,'0',0.301825569,0.303533518,'0',0.007258377,'0',-0.007258376,0.007258377,-0.007258376,1.11E-09
0.06,'0',0.04847113,-0.01226986,0.247929357,14.20530579,-0.1009864,-0.39893904,8.23044611,471.5698256,-4.92516917,-5.65433723,133.8012997,7666.249767,'0',-1.42E-13,-1.36E-13,-4.51E-12,1.27E-12,'0',0.09694226,-0.02453972,-0.20197281,-0.79787807,'0',0.424959284,0.358563821,'0',0.010385676,'0',-0.010385675,0.010385676,-0.010385675,1.11E-09
0.07,'2',0.04718967,-0.0165268,0.336871409,19.30130999,-0.15786531,-0.45075952,9.552080398,547.2938924,-6.45853658,-4.63916881,130.2639107,7463.572308,'1',3.11E-14,2.41E-15,4.69E-13,-2.30E-13,'1',0.09437934,-0.0330536,-0.31573062,-0.90151904,'2',0.557263109,0.446155786,'2',0.013988912,'2',-0.013988911,0.013988912,-0.013988911,1.11E-09
0.08,-,0.04526258,-0.0212438,0.438824997,25.14282028,-0.23006578,-0.49018386,10.82978274,620.5008441,-7.96287696,-3.1637383,124.9442979,7158.780942,-,2.69E-13,-5.70E-14,6.10E-12,-1.16E-11,-,0.09052515,-0.04248761,-0.46013157,-0.98036773,-,0.687062388,0.57346063,-,0.017981565,-,-0.017981564,0.017981565,-0.017981564,1.11E-09
0.09,-,0.04254094,-0.02627296,0.553254713,31.69916008,-0.3164223,-0.51234816,12.04364898,690.0502567,-9.25581187,-1.18476344,117.4314066,6728.323979,{,3.76E-14,-1.83E-14,2.09E-13,3.58E-14,{,0.08508188,-0.05254592,-0.63284459,-1.02469631,-,0.798620931,0.744212884,-,0.022238433,-,-0.022238432,0.022238433,-0.022238432,1.11E-09
0.1,-,0.03889729,-0.03141656,0.679406312,38.92711423,-0.41375344,-0.51227402,13.1699139,754.5804829,-10.11990694,1.27256375,107.3733663,6152.040719,P,1.30E-13,-1.20E-13,-2.05E-12,-5.66E-12,P,0.07779459,-0.06283313,-0.82750688,-1.02454804,-,0.873177806,0.956238902,-,0.026592176,-,-0.026592175,0.026592176,-0.026592175,1.11E-09
0.11,-,0.03424711,-0.03642987,0.816272017,46.76894151,-0.51664242,-0.48568682,14.18183464,812.5592708,-10.33189518,4.0893241,94.53683914,5416.561891,o,-4.54E-14,4.59E-14,1.80E-13,9.82E-13,o,0.06849422,-0.07285974,-1.03328485,-0.97137364,-,0.891468826,1.199277957,-,0.030835631,-,-0.03083563,0.030835631,-0.03083563,1.11E-09
0.12,-,0.02857073,-0.04103307,0.962567704,55.15106692,-0.6175963,-0.43002331,15.05118254,862.3692362,-9.70853901,7.04224987,78.86758715,4518.779884,i,2.22E-14,-2.88E-14,1.15E-13,2.04E-13,i,0.05714147,-0.08206615,-1.2351926,-0.86004663,-,0.837683671,1.454065798,-,0.034731957,-,-0.034731956,0.034731957,-0.034731956,1.11E-09
0.13,-,0.02193127,-0.0449335,1.116727888,63.98379484,-0.70771595,-0.34542395,15.75029605,902.4254899,-8.16079406,9.81902144,60.53978788,3468.674338,n,2.50E-14,8.98E-14,1.30E-12,3.87E-13,n,0.04386253,-0.089867,-1.41543189,-0.69084789,-,0.704139306,1.693654494,-,0.038033426,-,-0.038033425,0.038033426,-0.038033425,1.11E-09
0.14,-,0.01448307,-0.04785646,1.276923346,73.16231847,-0.7778833,-0.23541515,16.25450981,931.3148103,-5.73983669,12.06508554,39.97953161,2290.658428,t,7.06E-14,7.13E-14,2.51E-12,-1.48E-12,t,0.02896613,-0.09571292,-1.5557666,-0.4708303,-,0.495251393,1.88745206,-,0.04050753,-,-0.040507529,0.04050753,-0.040507529,1.11E-09
0.15,-,0.00646647,-0.04958008,1.441103604,82.56915438,-0.82028445,-0.10698544,16.54463613,947.9378238,-2.65505264,13.45587951,17.85026283,1022.744723,O,1.24E-14,-8.46E-16,4.12E-13,-3.43E-14,A,0.01293295,-0.09916017,-1.6405689,-0.21397087,-,0.229086399,2.007454193,-,0.041966471,-,-0.04196647,0.041966471,-0.04196647,1.11E-09
0.16,-,-0.00181293,-0.04996712,1.607062807,92.07791625,-0.82990828,0.03011105,16.60908698,951.6305853,0.75017568,13.77494605,0.004461825,86.73454132,},1.13E-14,4.48E-16,3.55E-13,1.57E-13,},-0.00362585,-0.09993424,-1.65981656,0.06022211,-,0.064727547,2.03498427,-,0.042294074,-,-0.042294073,0.042294074,-0.042294073,1.11E-09
